GRUPO;Latitud ;Longitud ;ESTC;ESFORM;ESSHAPE;FTC;FFORM;FSHAPE;BoTC;BoFORM;BoSHAPE;BaSTC;BaFORM;BaSHAPE;C13;IC;BF;DW;ALTITUDE;TEMPMED;TEMPMIN;TEMPMAX;PRECIPITACION;Climate code;Climate Köppen;Region/Climate
Amarillos;-23,232155;-65,350118;654,450989;-0,0271261184;0,029638525;189,2941472;-0,0197473925;0,0268247980;452,87794103459;0,05272305990;-0,04884991736;104,433434463;-0,022992212;0,009447401;11,20;15,00;157,14;0,75;2900;14;7;28;200;BSK;Cold semiarid;NW-BSK
Doncellas;-23,054271;-65,888555;652,2648512;-0,0249592546;0,027279875;186,7768061;-0,0319885529;0,0196812118;453,06138514787;0,04279260206;-0,03804128862;103,666451267;-0,031396849;0,013714411;15,80;12,16;160,73;0,55;3425;8;3;16;75;BWK;Cold dessert;NW-BWK
La Poma;-24,719568;-66,216112;663,0804213;-0,0156423634;0,037461273;191,823931;-0,0053425335;0,0204808560;459,40182994607;0,04299971116;-0,05223535817;105,554466414;-0,018292789;0,030965795;11,80;9,34;167,45;0,33;3117;10;7;26;300;BSK;Cold semiarid;NW-BSK
Tilcara;-23,58748;-65,404116;653,4752217;-0,0276448762;0,025274879;192,8732739;-0,0002444375;0,0230423996;452,06143215194;0,04699234919;-0,03668449931;106,564139029;-0,003386546;0,009101229;11,20;12,50;158,30;1,17;2473;14;6;28;200;BSK;Cold semiarid;NW-BSK
Andalgal;-27,600649;-66,316071;642,7716032;-0,0321336330;-0,012203876;188,3069405;-0,0232183475;-0,0091522769;453,02801228681;0,01645420680;0,01182224566;106,440306848;-0,001786527;-0,027138901;12,40;13,10;166,91;0,65;1019;14;7;29;250;CWA;Humid subtropical;NW-CWA
San Juan;-31,475434;-69,438589;661,893703;0,0000567157;-0,002141809;192,6353092;-0,0010613226;-0,0063416289;468,08008198966;-0,00878178556;0,00566488456;105,692953065;-0,012419992;0,004954543;13,30;10,00;192,60;1,17;1470;13;2;26;50;BWK;Cold dessert;CW-BWK
Norte Mza;-32,84355;-69,075029;651,668271;-0,0175370983;0,003244421;191,062496;-0,0104170877;0,0017046712;459,88471728676;0,01205381987;-0,00160355518;105,775736507;-0,016815529;0,035047232;14,80;2,75;155,73;0,68;1513;15;3;24;30;BSK;Cold semiarid;CW-BSK
Sur Mza;-35,060409;-68,984963;672,2830262;0,0174838333;0,003482212;190,9857259;-0,0143601122;0,0004751998;473,84476617799;-0,01616649692;0,00294788374;106,466342779;-0,005807153;0,031200846;16,60;3,87;190,85;1,12;1326;14;3;18;30;CSB;temperate mediterranean;CW-CSB
Rio Negro;-40,756356;-63,036455;685,10267;0,0445524252;-0,026471478;197,9155371;0,0310822644;-0,0232584885;483,21785568931;-0,05509425790;0,03731865887;109,787616627;0,031794375;-0,030500500;17,98;0,90;186,66;1,48;43;14;8;20;100;BSK;Cold semiarid;SPNP-BSK
Chubut;-43,317615;-65,382694;682,6749313;0,0428205028;-0,031649739;202,1331814;0,0519584439;-0,0251440350;477,97905245533;-0,05208784401;0,04469281918;110,192541170;0,035864742;-0,036489095;16,60;3,50;144,97;0,61;11;12;5;19;75;BWK;Cold dessert;SPNP-BWK
IGSB;-40,536945;-62,248034;690,6426084;0,0462494376;-0,016649609;200,9926012;0,0424590099;-0,0128526198;484,37059620529;-0,04703875754;0,02819026554;112,679306771;0,055173779;-0,015896520;16,85;1,10;170,22;0,86;2;14;8;20;150;BSK;Cold semiarid;SPNP-BSK
Azl;-36,817831;-60,066664;650,9893183;-0,0045248698;-0,02983241;193,2708566;0,0045017869;-0,0154600874;461,24115056509;-0,02521296105;0,04677786109;106,929073857;0,001015047;-0,024406440;16,50;9,80;165,02;0,90;151;14;8;20;300;CFA;Warm oceanic;SPNP-CFA
